id_reclamo,id_cliente,id_medidor,comuna,tipo_reclamo,fecha_reclamo,estado_reclamo,fecha_cierre,dias_resolucion,id_contratista_asignado
RC-00232,CL-01314,MD-01314,Chiguayante,Fuga Visible,2025-04-02,Cerrado,2025-04-08,6.0,CT-09
RC-00233,CL-00681,MD-00681,Chiguayante,Error de Facturación,2025-03-26,Abierto,,,CT-03
RC-00234,CL-00059,MD-00059,Concepción,Medidor Detenido,2025-12-09,Abierto,,,CT-08
RC-00235,CL-00405,MD-00405,Talcahuano,Error de Facturación,2025-10-06,Cerrado,2025-10-13,7.0,CT-01
RC-00236,CL-00258,MD-00258,Hualpén,Medidor Detenido,2025-08-16,Cerrado,2025-08-26,10.0,CT-09
RC-00237,CL-00944,MD-00944,Chiguayante,Error de Facturación,2025-05-28,Cerrado,2025-06-03,6.0,CT-01
RC-00238,CL-00857,MD-00857,Concepción,Corte No Programado,2025-03-27,Abierto,,,CT-04
RC-00239,CL-01426,MD-01426,San Pedro de la Paz,Error de Facturación,2025-11-28,Cerrado,2025-12-10,12.0,CT-01
RC-00240,CL-00349,MD-00349,Talcahuano,Medidor Detenido,2025-11-14,En Proceso,,,CT-09
RC-00241,CL-01010,MD-01010,Talcahuano,Fuga Visible,2025-10-28,Cerrado,2025-11-05,8.0,CT-02
RC-00242,CL-01168,MD-01168,Talcahuano,Error de Facturación,2025-02-15,Cerrado,2025-02-18,3.0,CT-02
RC-00243,CL-00834,MD-00834,Concepción,Error de Facturación,2025-05-24,En Proceso,,,CT-10
RC-00244,CL-00232,MD-00232,Talcahuano,Corte No Programado,2025-12-09,Cerrado,2025-12-17,8.0,CT-02
RC-00245,CL-01125,MD-01125,Hualpén,Corte No Programado,2025-08-08,En Proceso,,,CT-09
RC-00246,CL-01116,MD-01116,Hualpén,Error de Facturación,2025-11-15,Cerrado,2025-12-01,16.0,CT-05
RC-00247,CL-00491,MD-00491,Talcahuano,Fuga Visible,2025-08-22,Abierto,,,CT-06
RC-00248,CL-00285,MD-00285,Hualpén,Consumo Elevado,2025-01-05,Cerrado,2025-01-22,17.0,CT-06
RC-00249,CL-00410,MD-00410,Concepción,Consumo Elevado,2025-11-30,Cerrado,2025-12-03,3.0,CT-08
RC-00250,CL-00966,MD-00966,Talcahuano,Error de Facturación,2025-04-01,En Proceso,,,CT-02
RC-00251,CL-00462,MD-00462,Hualpén,Corte No Programado,2025-01-11,Cerrado,2025-01-16,5.0,CT-07
RC-00252,CL-00854,MD-00854,San Pedro de la Paz,Corte No Programado,2025-12-14,Cerrado,2025-12-19,5.0,CT-03
RC-00253,CL-00343,MD-00343,Concepción,Medidor Detenido,2025-09-14,Abierto,,,CT-10
RC-00254,CL-00111,MD-00111,Concepción,Error de Facturación,2025-01-25,Cerrado,2025-02-01,7.0,CT-10
RC-00255,CL-00145,MD-00145,Concepción,Error de Facturación,2025-09-13,Cerrado,2025-09-18,5.0,CT-01
RC-00256,CL-00375,MD-00375,Concepción,Medidor Detenido,2025-10-11,En Proceso,,,CT-03
RC-00257,CL-00799,MD-00799,Hualpén,Solicitud Cambio de Medidor,2025-07-23,En Proceso,,,CT-06
RC-00258,CL-00799,MD-00799,Hualpén,Corte No Programado,2025-09-20,En Proceso,,,CT-05
RC-00259,CL-00773,MD-00773,Concepción,Medidor Detenido,2025-05-06,Abierto,,,CT-01
RC-00260,CL-01210,MD-01210,San Pedro de la Paz,Medidor Detenido,2025-05-27,Cerrado,2025-06-05,9.0,CT-07
RC-00261,CL-00829,MD-00829,Chiguayante,Fuga Visible,2025-01-28,Abierto,,,CT-05
RC-00262,CL-01449,MD-01449,San Pedro de la Paz,Solicitud Cambio de Medidor,2025-08-28,Abierto,,,CT-09
RC-00263,CL-01498,MD-01498,Talcahuano,Corte No Programado,2025-07-28,Cerrado,2025-08-14,17.0,CT-09
RC-00264,CL-00561,MD-00561,Chiguayante,Consumo Elevado,2025-07-17,En Proceso,,,CT-09
RC-00265,CL-01490,MD-01490,Talcahuano,Fuga Visible,2025-09-13,Cerrado,2025-09-16,3.0,CT-08
RC-00266,CL-00122,MD-00122,San Pedro de la Paz,Consumo Elevado,2025-10-18,En Proceso,,,CT-07
RC-00267,CL-00603,MD-00603,Concepción,Corte No Programado,2025-12-12,Abierto,,,CT-02
RC-00268,CL-00429,MD-00429,Talcahuano,Fuga Visible,2025-01-31,Cerrado,2025-02-16,16.0,CT-09
RC-00269,CL-00490,MD-00490,San Pedro de la Paz,Corte No Programado,2025-02-05,Cerrado,2025-02-07,2.0,CT-06
RC-00270,CL-00628,MD-00628,Chiguayante,Fuga Visible,2025-11-05,Cerrado,2025-11-10,5.0,CT-09
RC-00271,CL-00481,MD-00481,Hualpén,Error de Facturación,2025-06-24,Abierto,,,CT-04
RC-00272,CL-00052,MD-00052,Chiguayante,Consumo Elevado,2025-09-18,En Proceso,,,CT-09
RC-00273,CL-00986,MD-00986,Talcahuano,Consumo Elevado,2025-06-05,En Proceso,,,CT-07
RC-00274,CL-01466,MD-01466,Concepción,Consumo Elevado,2025-11-20,Cerrado,2025-11-24,4.0,CT-03
RC-00275,CL-00769,MD-00769,Talcahuano,Solicitud Cambio de Medidor,2025-05-20,Cerrado,2025-05-31,11.0,CT-02
RC-00276,CL-00558,MD-00558,Concepción,Solicitud Cambio de Medidor,2025-01-27,Abierto,,,CT-05
RC-00277,CL-01470,MD-01470,Chiguayante,Fuga Visible,2025-09-12,En Proceso,,,CT-08
RC-00278,CL-00902,MD-00902,Concepción,Solicitud Cambio de Medidor,2025-06-13,Abierto,,,CT-09
RC-00279,CL-01411,MD-01411,Concepción,Solicitud Cambio de Medidor,2025-05-28,Cerrado,2025-06-01,4.0,CT-09
RC-00280,CL-01072,MD-01072,Concepción,Corte No Programado,2025-02-02,En Proceso,,,CT-03
RC-00281,CL-01447,MD-01447,Hualpén,Error de Facturación,2025-08-12,Cerrado,2025-08-17,5.0,CT-06
RC-00282,CL-01039,MD-01039,Concepción,Corte No Programado,2025-08-14,En Proceso,,,CT-02
RC-00283,CL-00376,MD-00376,Concepción,Fuga Visible,2025-06-27,Abierto,,,CT-10
RC-00284,CL-00619,MD-00619,Chiguayante,Medidor Detenido,2025-08-21,Abierto,,,CT-10
RC-00285,CL-00304,MD-00304,Hualpén,Error de Facturación,2025-04-08,Cerrado,2025-04-16,8.0,CT-02
RC-00286,CL-01451,MD-01451,Talcahuano,Consumo Elevado,2025-06-10,Cerrado,2025-07-03,23.0,CT-03
RC-00287,CL-01060,MD-01060,Hualpén,Consumo Elevado,2025-07-23,Cerrado,2025-08-05,13.0,CT-01
RC-00288,CL-00327,MD-00327,Talcahuano,Consumo Elevado,2025-05-20,Abierto,,,CT-04
RC-00289,CL-00302,MD-00302,Talcahuano,Corte No Programado,2025-08-15,Cerrado,2025-08-20,5.0,CT-09
RC-00290,CL-00850,MD-00850,Hualpén,Consumo Elevado,2025-09-30,Cerrado,2025-10-07,7.0,CT-10
RC-00291,CL-00345,MD-00345,Talcahuano,Error de Facturación,2025-05-14,Cerrado,2025-05-19,5.0,CT-01
RC-00292,CL-01256,MD-01256,Talcahuano,Medidor Detenido,2025-11-05,Cerrado,2025-11-30,25.0,CT-05
RC-00293,CL-01371,MD-01371,San Pedro de la Paz,Fuga Visible,2025-09-04,Cerrado,2025-09-10,6.0,CT-05
RC-00294,CL-01061,MD-01061,San Pedro de la Paz,Error de Facturación,2025-01-06,Cerrado,2025-01-12,6.0,CT-05
RC-00295,CL-00732,MD-00732,Chiguayante,Consumo Elevado,2025-05-10,Cerrado,2025-05-14,4.0,CT-08
RC-00296,CL-00153,MD-00153,Concepción,Solicitud Cambio de Medidor,2025-02-16,Cerrado,2025-02-23,7.0,CT-06
RC-00297,CL-00442,MD-00442,San Pedro de la Paz,Error de Facturación,2025-05-21,Cerrado,2025-06-05,15.0,CT-09
RC-00298,CL-00333,MD-00333,Concepción,Error de Facturación,2025-12-07,Cerrado,2025-12-11,4.0,CT-01
RC-00299,CL-00848,MD-00848,San Pedro de la Paz,Medidor Detenido,2025-07-23,Cerrado,2025-08-06,14.0,CT-08
RC-00300,CL-01261,MD-01261,Concepción,Solicitud Cambio de Medidor,2025-01-06,Cerrado,2025-01-22,16.0,CT-07
RC-00301,CL-00479,MD-00479,San Pedro de la Paz,Fuga Visible,2025-08-12,En Proceso,,,CT-01
RC-00302,CL-00077,MD-00077,Chiguayante,Medidor Detenido,2025-01-24,Cerrado,2025-02-05,12.0,CT-09
RC-00303,CL-00127,MD-00127,Chiguayante,Error de Facturación,2025-09-07,Cerrado,2025-09-12,5.0,CT-05
RC-00304,CL-00570,MD-00570,Talcahuano,Medidor Detenido,2025-09-02,Abierto,,,CT-06
RC-00305,CL-01089,MD-01089,San Pedro de la Paz,Corte No Programado,2025-08-29,Abierto,,,CT-04
RC-00306,CL-01015,MD-01015,Chiguayante,Solicitud Cambio de Medidor,2025-01-02,Abierto,,,CT-09
RC-00307,CL-00700,MD-00700,Talcahuano,Corte No Programado,2025-03-04,En Proceso,,,CT-10
RC-00308,CL-01332,MD-01332,Chiguayante,Fuga Visible,2025-09-03,Abierto,,,CT-10
RC-00309,CL-00701,MD-00701,Talcahuano,Corte No Programado,2025-06-22,Cerrado,2025-06-30,8.0,CT-08
RC-00310,CL-00521,MD-00521,Hualpén,Corte No Programado,2025-11-13,En Proceso,,,CT-04
RC-00311,CL-01332,MD-01332,Chiguayante,Corte No Programado,2025-10-25,Cerrado,2025-10-26,1.0,CT-02
RC-00312,CL-00692,MD-00692,Talcahuano,Corte No Programado,2025-04-20,Cerrado,2025-05-07,17.0,CT-10
RC-00313,CL-00448,MD-00448,Chiguayante,Solicitud Cambio de Medidor,2025-10-19,Cerrado,2025-11-02,14.0,CT-02
RC-00314,CL-00170,MD-00170,Hualpén,Consumo Elevado,2025-08-25,En Proceso,,,CT-05
RC-00315,CL-00411,MD-00411,Concepción,Consumo Elevado,2025-08-05,En Proceso,,,CT-04
RC-00316,CL-00968,MD-00968,Concepción,Solicitud Cambio de Medidor,2025-05-27,Cerrado,2025-06-09,13.0,CT-06
RC-00317,CL-01162,MD-01162,Concepción,Error de Facturación,2025-11-15,En Proceso,,,CT-07
RC-00318,CL-01106,MD-01106,Concepción,Corte No Programado,2025-01-24,En Proceso,,,CT-06
RC-00319,CL-01321,MD-01321,Concepción,Corte No Programado,2025-01-20,Cerrado,2025-02-02,13.0,CT-02
RC-00320,CL-01399,MD-01399,Hualpén,Error de Facturación,2025-01-24,Abierto,,,CT-06
